name,start_time,finish_time,duration
UserShuffle,1529.3101019200421,1539.7916665708974,10.481564650855262
IPShuffle,1498.7369041473125,1548.8171089687862,50.08020482147367
PortShuffle,1559.313415242106,1599.5294871252322,40.21607188312623
CompleteTopologyShuffle,1590.46336649828,1660.6457783623255,70.18241186404543
osdiversity,1712.8170698341746,1743.1286024681583,30.31153263398369
CompleteTopologyShuffle,1682.4516591577217,1752.9308797650249,70.4792206073032
UserShuffle,1744.1582946486037,1754.9367630605004,10.77846841189671
PortShuffle,1774.510732768091,1815.8848255243645,41.37409275627351
PortShuffle,1836.4327172934659,1876.5434507709913,40.1107334775254
IPShuffle,1866.4354063563796,1916.8786432125273,50.44323685614768
IPShuffle,1928.130648902789,1978.797156805849,50.66650790305994
IPShuffle,1989.046304824204,2040.0713479931194,51.02504316891532
PortShuffle,2019.6902404097593,2059.776830177101,40.08658976734182
serviceDiversity,2079.8112896559787,2120.9887169872263,41.1774273312476
IPShuffle,2110.0261416277813,2161.1173485900194,51.091206962238175
serviceDiversity,2140.9742274715736,2181.5371063734206,40.56287890184694
HostTopologyShuffle,2171.7225927007294,2212.624679843579,40.90208714284972
serviceDiversity,2202.468142335105,2243.447679817609,40.97953748250393
serviceDiversity,2263.274869378878,2304.486548186083,41.21167880720486
PortShuffle,2323.803038933655,2363.962151720637,40.15911278698195
osdiversity,2385.035346462816,2416.1090814294153,31.073734966599204
CompleteTopologyShuffle,2354.2592898730936,2424.755844592848,70.49655471975439
UserShuffle,2478.164836260305,2488.1685664754564,10.003730215151336
CompleteTopologyShuffle,2447.1648777190667,2517.353345850925,70.18846813185837
PortShuffle,2508.28205384708,2548.3232254838017,40.04117163672163
IPShuffle,2538.707008640321,2588.842161308687,50.13515266836612
serviceDiversity,2568.8170085523006,2609.0449861658963,40.22797761359561
IPShuffle,2599.1494497484914,2649.3716601128585,50.22221036436713
IPShuffle,2659.54455695118,2709.775310461502,50.2307535103223
IPShuffle,2721.108329970357,2771.3481290509503,50.23979908059346
serviceDiversity,2813.106824974196,2853.193191228856,40.08636625465988
CompleteTopologyShuffle,2782.9906128944654,2853.9762293911363,70.9856164966709
PortShuffle,2873.7405442738063,2915.054850657538,41.31430638373149
HostTopologyShuffle,2905.4584711050793,2945.88075052987,40.42227942479076
UserShuffle,2935.758193596224,2946.6076304446074,10.849436848383448
PortShuffle,2965.8151803239816,3007.1575134107493,41.34233308676767
HostTopologyShuffle,2996.906235053269,3037.1764318258142,40.270196772545205
HostTopologyShuffle,3057.9287154914405,3100.505476340176,42.576760848735375
IPShuffle,3120.73512798472,3171.269058989203,50.53393100448329
IPShuffle,3181.157008936315,3231.2831733065645,50.126164370249626
CompleteTopologyShuffle,3241.785470744153,3312.2379535019363,70.4524827577834
IPShuffle,3332.7983039001456,3383.920729138778,51.12242523863233
osdiversity,3362.9300225829866,3393.149548766524,30.219526183537255
PortShuffle,3423.646160331744,3463.789348324284,40.143187992540334
serviceDiversity,3483.776301435705,3523.9360519237375,40.15975048803239
serviceDiversity,3544.2257410426664,3584.283984272398,40.05824322973149
serviceDiversity,3605.416538914933,3645.557765126688,40.14122621175511
PortShuffle,3665.924202996839,3705.974606064723,40.05040306788396
osdiversity,3726.485215629702,3756.789485791507,30.304270161805107
HostTopologyShuffle,3756.548424761178,3796.9528426876745,40.404417926496535
osdiversity,3786.7315166966187,3817.6067463967406,30.875229700121963
UserShuffle,3816.7601795889705,3827.5043162927764,10.744136703805907
osdiversity,3846.81050043418,3877.307780965033,30.497280530853004
HostTopologyShuffle,3876.911264635088,3917.026790750664,40.1155261155759
PortShuffle,3907.6774015498013,3948.994928016592,41.317526466790696
HostTopologyShuffle,3939.415700202495,3979.5304577118354,40.11475750934051
HostTopologyShuffle,3999.7907845900622,4040.091799181841,40.30101459177877
HostTopologyShuffle,4062.1099921715863,4102.319571965082,40.20957979349578
UserShuffle,4093.1919338412513,4103.256176659007,10.064242817755712
osdiversity,4123.651717984038,4154.900443267321,31.24872528328251
UserShuffle,4184.2031995222305,4194.4551861118725,10.251986589642001
HostTopologyShuffle,4154.172694414649,4194.518416557332,40.34572214268246
PortShuffle,4214.303361872707,4256.400134950979,42.096773078272236
