name,start_time,finish_time,duration,current_host,current_host_uuid,compromise_host,compromise_host_uuid,current_host_attempt,cumulative_attempts,cumulative_compromised_hosts,compromise_users,interrupted_in,interrupted_by
SCAN_PORT,1839.7555491301212,1858.9302155077573,19.174666377636186,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,7,31,0,[],application,PortShuffle
SCAN_PORT,1860.9302155077573,1880.9302155077573,20.0,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,7,31,0,[],None,None
EXPLOIT_VULN,1880.9302155077573,1899.1220416166832,18.191826108925852,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,7,31,0,[],network,IPShuffle
SCAN_HOST,1901.1220416166832,1911.1220416166832,10.0,-1,-1,None,None,0,31,0,[],None,None
ENUM_HOST,1911.1220416166832,1926.1220416166832,15.0,-1,-1,None,None,0,31,0,[],None,None
SCAN_PORT,1926.1220416166832,1946.1220416166832,20.0,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,8,31,0,[],None,None
EXPLOIT_VULN,1946.1220416166832,1972.2898681520312,26.167826535348013,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,8,31,0,[],None,None
BRUTE_FORCE,1972.2898681520312,1980.8283450474921,8.538476895460917,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,8,33,0,[],application,PortShuffle
SCAN_PORT,1982.8283450474921,2002.8283450474921,20.0,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,8,33,0,[],None,None
EXPLOIT_VULN,2002.8283450474921,2030.1894692899416,27.361124242449478,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,8,33,0,[],None,None
BRUTE_FORCE,2030.1894692899416,2041.5425261380497,11.353056848108054,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,8,33,0,[],application,PortShuffle
SCAN_PORT,2043.5425261380497,2063.5425261380497,20.0,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,8,33,0,[],None,None
EXPLOIT_VULN,2063.5425261380497,2089.17330896559,25.630782827540315,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,8,33,0,[],None,None
BRUTE_FORCE,2089.17330896559,2104.17330896559,15.0,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,8,33,0,[],None,None
ENUM_HOST,2104.17330896559,2119.17330896559,15.0,2,25ee141a-53bf-4065-b6a8-56ce63c057dc,None,None,8,33,0,[],None,None
SCAN_PORT,2119.17330896559,2139.17330896559,20.0,3,aebe5f4b-cf10-49c0-85b5-5ea8f0d42612,None,None,2,33,0,[],None,None
EXPLOIT_VULN,2139.17330896559,2165.2090798254258,26.035770859835793,3,aebe5f4b-cf10-49c0-85b5-5ea8f0d42612,3,aebe5f4b-cf10-49c0-85b5-5ea8f0d42612,2,33,0,"['Dorrie', 'Kacey', 'Sandy', 'Carlye', 'Daphene']",None,None
