Name,Host Compromise ratio (compromised hosts / total hosts),MTD Interval,Network Size,MTD Execution Frequency,Attack Success Rate,Mean Time to Compromise (s)
NoMTD,0.5,200,25,0.0,0.675953615098352,2090.7307550705555
NoMTD,0.6,200,25,0.0,0.6666848483324456,2427.394796515394
NoMTD,0.7,200,25,0.0,0.6840283752213675,2602.789522835893
NoMTD,0.8,200,25,0.0,0.23108675582886037,8019.501981533894
NoMTD,0.1,200,50,0.0,0.5121212121212121,1351.3964444735504
NoMTD,0.2,200,50,0.0,0.636297852474323,2055.2009932208866
NoMTD,0.3,200,50,0.0,0.7061777467383875,2559.545709652558
NoMTD,0.4,200,50,0.0,0.7475050875050874,2976.2822650998673
NoMTD,0.5,200,50,0.0,0.7745924616180784,3312.371612205638
NoMTD,0.6,200,50,0.0,0.7899204872889084,3633.148377213208
NoMTD,0.7,200,50,0.0,0.8067242189335213,3880.041577998475
NoMTD,0.8,200,50,0.0,0.8199363149515125,4162.914354473305
NoMTD,0.1,200,75,0.0,0.675611888111888,1479.08871062605
NoMTD,0.2,200,75,0.0,0.7756892230576442,2253.957422036393
NoMTD,0.3,200,75,0.0,0.8349396867500317,2829.9185712398653
NoMTD,0.4,200,75,0.0,0.809617338564707,3529.193910011727
NoMTD,0.5,200,75,0.0,0.8374563378987039,4025.9398241450463
NoMTD,0.6,200,75,0.0,0.8416020300454262,4442.092165701151
NoMTD,0.7,200,75,0.0,0.8639899598753535,4810.926282633447
NoMTD,0.8,200,75,0.0,0.8662025133969828,5224.55304233368
NoMTD,0.1,200,100,0.0,0.8021978021978022,1703.1726068788623
NoMTD,0.2,200,100,0.0,0.8453683997162258,2887.7115930535483
NoMTD,0.3,200,100,0.0,0.8047564527667224,3945.1689319491024
NoMTD,0.4,200,100,0.0,0.8163265707728294,4709.373684121803
NoMTD,0.5,200,100,0.0,0.8194157344615807,5297.067910653672
NoMTD,0.6,200,100,0.0,0.13139024455854212,25499.70242444623
NoMTD,0.7,200,100,0.0,0.14956776803720945,25984.87841656129
NoMTD,0.8,200,100,0.0,0.16683579288367656,26425.876295557166
CompleteTopologyShuffle,0.1,100,25,0.005006615403238913,0.31824772449772454,532.1006582781762
CompleteTopologyShuffle,0.2,100,25,0.005006615403238913,0.29565519190132195,1279.039613517743
CompleteTopologyShuffle,0.3,100,25,0.005006615403238913,0.35618379315529003,1528.0438658974037
CompleteTopologyShuffle,0.4,100,25,0.005006615403238913,0.24689824187031414,2976.642930396925
CompleteTopologyShuffle,0.5,100,25,0.005006615403238913,0.20738389257771214,4173.202557696413
CompleteTopologyShuffle,0.6,100,25,0.005006615403238913,0.08439041740679522,11316.41906401641
CompleteTopologyShuffle,0.7,100,25,0.005006615403238913,0.09366241146997493,11759.648477972694
CompleteTopologyShuffle,0.8,100,25,0.005006615403238913,0.10128684710596751,12057.756877197511
CompleteTopologyShuffle,0.1,100,50,0.005014255415073094,0.25898949691519346,2078.3438315831268
CompleteTopologyShuffle,0.2,100,50,0.005014255415073094,0.3685422368180989,2496.9390780301787
CompleteTopologyShuffle,0.3,100,50,0.005014255415073094,0.38316880172280865,3384.7978573179703
CompleteTopologyShuffle,0.4,100,50,0.005014255415073094,0.37978506676870233,4194.258208440074
CompleteTopologyShuffle,0.5,100,50,0.005014255415073094,0.3777740811357855,4845.283713373469
CompleteTopologyShuffle,0.6,100,50,0.005014255415073094,0.38138765443844463,5393.67449121789
CompleteTopologyShuffle,0.7,100,50,0.005014255415073094,0.3716695195002784,6047.552232314001
CompleteTopologyShuffle,0.8,100,50,0.005014255415073094,0.28371172016637225,9475.608575672031
CompleteTopologyShuffle,0.1,100,75,0.004988526332235277,0.27178637334887334,2765.3494934022738
CompleteTopologyShuffle,0.2,100,75,0.004988526332235277,0.04733569249027775,27358.066725062254
CompleteTopologyShuffle,0.3,100,75,0.004988526332235277,0.06657859582860967,28248.006747297546
CompleteTopologyShuffle,0.4,100,75,0.004988526332235277,0.08339466281900254,29075.686868464225
CompleteTopologyShuffle,0.5,100,75,0.004988526332235277,0.09548207619926816,29768.02324704302
CompleteTopologyShuffle,0.6,100,75,0.004988526332235277,0.10297050839184974,31954.174184612242
CompleteTopologyShuffle,0.7,100,75,0.004988526332235277,0.10785115397349362,33829.68909313761
CompleteTopologyShuffle,0.8,100,75,0.004988526332235277,0.11670135466091729,34696.8178130599
CompleteTopologyShuffle,0.1,100,100,0.004987207812028219,0.39253842581428783,2586.8028406627413
CompleteTopologyShuffle,0.2,100,100,0.004987207812028219,0.4330693443303737,4387.430794425924
CompleteTopologyShuffle,0.3,100,100,0.004987207812028219,0.4603553518821563,5365.551714071898
CompleteTopologyShuffle,0.4,100,100,0.004987207812028219,0.2109130594788497,15433.448207665113
CompleteTopologyShuffle,0.5,100,100,0.004987207812028219,0.14154886852782947,25082.47712888289
CompleteTopologyShuffle,0.6,100,100,0.004987207812028219,0.11589452304906853,29902.981243852322
CompleteTopologyShuffle,0.7,100,100,0.004987207812028219,0.13107885844776682,30384.838183474563
