Name,Host Compromise ratio (compromised hosts / total hosts),MTD Interval,Network Size,MTD Execution Frequency,Attack Success Rate,Mean Time to Compromise (s)
alternative,0.5,100,25,0.007968749514800564,0.15497594392689812,4787.724143658455
alternative,0.6,100,25,0.007968749514800564,0.07978506197106469,11495.493973778506
alternative,0.7,100,25,0.007968749514800564,0.08545293112354195,12377.35145004056
alternative,0.8,100,25,0.007968749514800564,0.09069141666269952,12847.504387105919
alternative,0.1,100,50,0.007966579114575895,0.18627249990153216,2210.837583880275
alternative,0.2,100,50,0.007966579114575895,0.2591961187655446,2859.025249467892
alternative,0.3,100,50,0.007966579114575895,0.290414624121732,3607.5559271723455
alternative,0.4,100,50,0.007966579114575895,0.2738542695519439,4718.933923685535
alternative,0.5,100,50,0.007966579114575895,0.2682152450611313,5672.556993751164
alternative,0.6,100,50,0.007966579114575895,0.270984391353971,6399.321249471084
alternative,0.7,100,50,0.007966579114575895,0.27008174658241163,7070.625414966938
alternative,0.8,100,50,0.007966579114575895,0.1826895840358273,14510.511198238915
alternative,0.1,100,75,0.007963058885108287,0.16464912306843765,3376.2418800775836
alternative,0.2,100,75,0.007963058885108287,0.07376475187327135,17797.124572034932
alternative,0.3,100,75,0.007963058885108287,0.09990558156315041,18622.244275151366
alternative,0.4,100,75,0.007963058885108287,0.12051299875016257,19480.28522106934
alternative,0.5,100,75,0.007963058885108287,0.13438881480211085,20273.996504033305
alternative,0.6,100,75,0.007963058885108287,0.09969564199392487,29307.618562026684
alternative,0.7,100,75,0.007963058885108287,0.11238485079649627,29762.336461406598
alternative,0.8,100,75,0.007963058885108287,0.12388164256729986,30290.182062280168
alternative,0.1,100,100,0.00796215515357718,0.2609194503931346,2837.1421834813273
alternative,0.2,100,100,0.00796215515357718,0.2810763754167784,5264.168157636019
alternative,0.3,100,100,0.00796215515357718,0.29281372620711554,6722.730835110732
alternative,0.4,100,100,0.00796215515357718,0.14035229951981926,18525.667427177355
alternative,0.5,100,100,0.00796215515357718,0.09716336426956226,25038.529663899797
alternative,0.6,100,100,0.00796215515357718,0.09450625425573736,29594.64955213315
alternative,0.7,100,100,0.00796215515357718,0.10761181273521891,30137.157810338533
alternative,0.8,100,100,0.00796215515357718,0.11984805951703983,30649.623831887893
alternative,0.1,200,25,0.0050635699105729985,0.3136904761904762,562.457420052808
alternative,0.2,200,25,0.0050635699105729985,0.3238782051282051,1173.1036360129974
alternative,0.3,200,25,0.0050635699105729985,0.37520292207792205,1551.92262554313
alternative,0.4,200,25,0.0050635699105729985,0.3138915890375846,2686.7870273518774
alternative,0.5,200,25,0.0050635699105729985,0.2936126130038579,3375.5659138867995
alternative,0.6,200,25,0.0050635699105729985,0.251974546476847,4178.272186380089
alternative,0.7,200,25,0.0050635699105729985,0.25376784489223425,4658.490890930045
alternative,0.8,200,25,0.0050635699105729985,0.19195757463113378,8251.46806883386
alternative,0.1,200,50,0.005069003461847683,0.2567457246056317,2072.426791010737
alternative,0.2,200,50,0.005069003461847683,0.3520941257481858,2694.8879775595087
alternative,0.3,200,50,0.005069003461847683,0.39014062618713774,3381.763808206767
alternative,0.4,200,50,0.005069003461847683,0.4077215877777518,3995.846983061503
alternative,0.5,200,50,0.005069003461847683,0.41831305833966625,4558.963229991763
alternative,0.6,200,50,0.005069003461847683,0.4353938375808296,4950.457110429044
alternative,0.7,200,50,0.005069003461847683,0.44938757991222805,5265.834372200186
alternative,0.8,200,50,0.005069003461847683,0.4480604308399889,5721.173243901951
alternative,0.1,200,75,0.005030845576664575,0.28449041905329386,2617.308780575221
alternative,0.2,200,75,0.005030845576664575,0.2654082116589806,4116.224223397914
alternative,0.3,200,75,0.005030845576664575,0.32889999293102085,4849.321670743252
alternative,0.4,200,75,0.005030845576664575,0.36149422300874356,5627.271851471395
alternative,0.5,200,75,0.005030845576664575,0.3861256851245506,6146.162836465832
alternative,0.6,200,75,0.005030845576664575,0.3080555780161881,9736.624048870275
alternative,0.7,200,75,0.005030845576664575,0.29455568069426435,10917.772768742774
alternative,0.8,200,75,0.005030845576664575,0.31277368486615875,11468.7643495342
alternative,0.1,200,100,0.00500248339797865,0.392284454675759,2622.449571497842
alternative,0.2,200,100,0.00500248339797865,0.4450639210244873,4341.087832244865
alternative,0.3,200,100,0.00500248339797865,0.4940878563978819,5192.390926969873
