Name,Time,MTD Interval,Mean Time to Compromise
CompleteTopologyShuffle,999.4626097769112,200,156.67975518020606
CompleteTopologyShuffle,1998.9252195538224,200,120.37812165183804
CompleteTopologyShuffle,2998.3878293307334,200,96.77592018321334
CompleteTopologyShuffle,3997.850439107645,200,90.12210199667295
CompleteTopologyShuffle,4997.313048884556,200,85.12220459812781
CompleteTopologyShuffle,5996.775658661467,200,82.57894412731713
CompleteTopologyShuffle,6996.238268438378,200,85.50463452536964
CompleteTopologyShuffle,7995.70087821529,200,88.9861718999976
CompleteTopologyShuffle,8995.1634879922,200,91.60029892362166
CompleteTopologyShuffle,9994.626097769113,200,91.97831505786714
CompleteTopologyShuffle,999.5608927277601,300,104.99245011590138
CompleteTopologyShuffle,1999.1217854555202,300,92.27876812615212
CompleteTopologyShuffle,2998.6826781832806,300,100.10730891935455
CompleteTopologyShuffle,3998.2435709110405,300,100.63967915749082
CompleteTopologyShuffle,4997.8044636388,300,100.10718375129156
CompleteTopologyShuffle,5997.365356366561,300,97.58861288489574
CompleteTopologyShuffle,6996.926249094321,300,94.52230820886497
CompleteTopologyShuffle,7996.487141822081,300,90.6338024315857
CompleteTopologyShuffle,8996.048034549842,300,85.71717788242672
CompleteTopologyShuffle,9995.6089272776,300,81.6427813658466
IPShuffle,998.8267603160388,100,172.0820140238347
IPShuffle,1997.6535206320775,100,153.59842728512658
IPShuffle,2996.480280948116,100,133.65742087814243
IPShuffle,3995.307041264155,100,112.90412360537857
IPShuffle,4994.133801580194,100,99.43207118321341
IPShuffle,5992.960561896232,100,89.85391202285022
IPShuffle,6991.787322212272,100,84.21619370462356
IPShuffle,7990.61408252831,100,83.77801170111009
IPShuffle,8989.44084284435,100,87.46953892457694
IPShuffle,9988.267603160388,100,92.00624873368335
IPShuffle,998.3285694073738,150,230.77426680911321
IPShuffle,1996.6571388147477,150,163.9359155020034
IPShuffle,2994.9857082221215,150,123.34651503907355
IPShuffle,3993.3142776294953,150,101.88351252830805
IPShuffle,4991.642847036869,150,96.49411286079223
IPShuffle,5989.971416444243,150,84.47258727316509
IPShuffle,6988.299985851617,150,80.31404296714388
IPShuffle,7986.628555258991,150,83.34798857621668
IPShuffle,8984.957124666365,150,88.76112650825563
IPShuffle,9983.285694073738,150,96.30802482287545
IPShuffle,998.9687822344679,200,145.83293436643626
IPShuffle,1997.9375644689358,200,122.68617206274705
